name,wins,losses,wlr,f_year,l_year,career_duration,dfs,aces,svpt,1stIn,1stWon,2ndWon,SvGms,bpSaved,bpFaced,hand,birthdate,country,gender,total_matches,serve_games_won,serve_game_won%,break_points_saved%,breakpoints_permatch,ace_dominance
Chris Garner,19,36,34.545,1988,1994,7,77.0,148.0,2633.0,1539.0,1002.0,558.0,401.0,150.0,273.0,R,1969-04-07,USA,male,55,278.0,69.327,54.945,4.964,5.621
Raoul Behr,0,7,0.0,2001,2005,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,1976-09-24,AHO,male,7,0.0,,,0.0,
Lionel Barthez,2,10,16.667,1989,1998,10,66.0,39.0,832.0,446.0,302.0,161.0,123.0,45.0,86.0,R,1967-05-18,FRA,male,12,82.0,66.667,52.326,7.167,4.688
David Lewis,9,20,31.034,1982,1990,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1964-09-03,NZL,male,29,0.0,,,0.0,
Magnus Zeile,0,2,0.0,1989,1990,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1968-08-10,SWE,male,2,0.0,,,0.0,
Peter Polansky,16,43,27.119,2006,2019,14,160.0,220.0,4097.0,2380.0,1618.0,846.0,623.0,244.0,417.0,R,1988-06-15,CAN,male,59,450.0,72.231,58.513,7.068,5.37
Milan Vopicka,0,1,0.0,1970,1970,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1976-03-25,CZE,male,1,0.0,,,0.0,
Shuzo Matsuoka,126,137,47.909,1985,1998,14,511.0,1285.0,14424.0,8781.0,6489.0,2866.0,2195.0,673.0,1080.0,R,1967-11-06,JPN,male,263,1788.0,81.458,62.315,4.106,8.909
Takahiro Ittogi,0,1,0.0,2005,2005,1,2.0,1.0,43.0,31.0,14.0,1.0,7.0,5.0,11.0,R,1988-12-17,JPN,male,1,1.0,14.286,45.455,11.0,2.326
Luis Borfiga,4,18,18.182,1974,1985,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1954-10-29,MON,male,22,0.0,,,0.0,
Ariez Elyaas Deen Heshaam,0,4,0.0,2010,2012,3,0.0,1.0,45.0,25.0,10.0,7.0,8.0,2.0,8.0,R,1993-12-24,MAS,male,4,2.0,25.0,25.0,2.0,2.222
Pavel Vizner,0,2,0.0,1988,1994,7,2.0,2.0,54.0,31.0,18.0,9.0,9.0,3.0,8.0,R,1970-07-15,CZE,male,2,4.0,44.444,37.5,4.0,3.704
Michael Marcin,0,1,0.0,1968,1968,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,,USA,male,1,0.0,,,0.0,
Stanislav Bykov,0,2,0.0,2005,2007,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1988-08-16,KAZ,male,2,0.0,,,0.0,
Garth Haynes,0,1,0.0,1982,1982,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,,USA,male,1,0.0,,,0.0,
David Whyte,0,5,0.0,1978,1980,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,,AUS,male,5,0.0,,,0.0,
David Whyte,0,5,0.0,1978,1980,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,,AUS,male,5,0.0,,,0.0,
Jaroslav Bulant,2,8,20.0,1988,1995,8,4.0,4.0,202.0,98.0,64.0,51.0,29.0,16.0,25.0,R,1964-04-21,CZE,male,10,20.0,68.966,64.0,2.5,1.98
Saleh Bushnaq,0,1,0.0,1991,1991,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,1964-12-19,JOR,male,1,0.0,,,0.0,
Temur Ismailov,1,4,20.0,2013,2017,5,9.0,17.0,189.0,115.0,87.0,33.0,31.0,8.0,14.0,R,1995-01-14,UZB,male,5,25.0,80.645,57.143,2.8,8.995
Jose Acasuso,188,177,51.507,2001,2011,11,948.0,1822.0,25594.0,13876.0,10001.0,5928.0,3981.0,1370.0,2275.0,R,1982-10-20,ARG,male,365,3076.0,77.267,60.22,6.233,7.119
Stephen Myers,4,11,26.667,1971,1980,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,,AUS,male,15,0.0,,,0.0,
Mike De Palmer,62,73,45.926,1981,1987,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,1961-10-17,USA,male,135,0.0,,,0.0,
Xiao Cheng Liu,0,2,0.0,1990,1990,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,1969-04-15,CHN,male,2,0.0,,,0.0,
Bong Suk Kim,0,1,0.0,1980,1980,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,1953-07-26,KOR,male,1,0.0,,,0.0,
Furat Hammadi,0,1,0.0,1990,1990,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,1972-06-09,JOR,male,1,0.0,,,0.0,
Amir Hossein Badi,0,1,0.0,2018,2018,1,3.0,0.0,58.0,40.0,19.0,4.0,7.0,7.0,13.0,U,1998-12-09,IRI,male,1,1.0,14.286,53.846,13.0,0.0
Emin Agaev,0,1,0.0,2002,2002,1,4.0,3.0,44.0,23.0,13.0,6.0,7.0,1.0,6.0,R,1979-05-14,AZE,male,1,2.0,28.571,16.667,6.0,6.818
Paul Haarhuis,207,202,50.611,1988,2000,13,817.0,1423.0,26992.0,16085.0,11155.0,5457.0,4094.0,1498.0,2482.0,R,1966-02-19,NED,male,409,3110.0,75.965,60.355,6.068,5.272
Dean Martin Jr,0,5,0.0,1974,1978,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,,USA,male,5,0.0,,,0.0,
Luke Saville,2,6,25.0,2013,2016,4,43.0,44.0,796.0,479.0,308.0,160.0,120.0,52.0,86.0,R,1994-02-01,AUS,male,8,86.0,71.667,60.465,10.75,5.528
Jan Simbera,3,8,27.273,1973,1978,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,,CZE,male,11,0.0,,,0.0,
Suehiro Ito,0,1,0.0,1979,1979,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,,JPN,male,1,0.0,,,0.0,
Nathan Healey,6,13,31.579,2004,2007,4,111.0,156.0,1544.0,872.0,637.0,334.0,235.0,84.0,131.0,R,1980-02-27,AUS,male,19,188.0,80.0,64.122,6.895,10.104
Dominic Durand,1,1,50.0,1989,1989,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,,FRA,male,2,0.0,,,0.0,
M Bonner,0,1,0.0,1968,1968,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,,,male,1,0.0,,,0.0,
Broderick Dyke,59,100,37.107,1982,1993,12,39.0,18.0,601.0,349.0,219.0,115.0,88.0,38.0,67.0,L,1960-12-31,AUS,male,159,59.0,67.045,56.716,0.421,2.995
Juan Martin Aranguren,0,2,0.0,2006,2010,5,7.0,4.0,146.0,93.0,60.0,22.0,23.0,5.0,14.0,R,1983-10-07,ARG,male,2,14.0,60.87,35.714,7.0,2.74
Alan Ho,0,1,0.0,1973,1973,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,,UNK,male,1,0.0,,,0.0,
Luis Alberto Ayala,1,1,50.0,1969,1969,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,,CHI,male,2,0.0,,,0.0,
Rouzbeh Kamran,1,2,33.333,2007,2011,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,1983-09-03,IRI,male,3,0.0,,,0.0,
Mariano Hood,4,7,36.364,1998,2001,4,7.0,14.0,715.0,471.0,323.0,120.0,110.0,52.0,82.0,L,1973-08-14,ARG,male,11,80.0,72.727,63.415,7.455,1.958
Mark Merklein,10,22,31.25,1994,2004,11,67.0,82.0,1173.0,715.0,496.0,207.0,176.0,61.0,110.0,R,1972-06-28,BAH,male,32,127.0,72.159,55.455,3.438,6.991
Craig Edwards,2,7,22.222,1980,1982,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1955-05-19,USA,male,9,0.0,,,0.0,
Christian Miniussi,59,82,41.844,1984,1995,12,185.0,153.0,4723.0,2777.0,1858.0,930.0,714.0,262.0,478.0,R,1967-07-05,ARG,male,141,498.0,69.748,54.812,3.39,3.239
Joachim Bjerke,0,2,0.0,2014,2014,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1994-11-11,NOR,male,2,0.0,,,0.0,
Jean Francois Caujolle,73,104,41.243,1970,1982,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,1952-03-31,FRA,male,177,0.0,,,0.0,
Tom Brown,1,4,20.0,1970,1971,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1922-09-26,USA,male,5,0.0,,,0.0,
T Hall,0,1,0.0,1980,1980,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,,AUS,male,1,0.0,,,0.0,
R Walker,1,1,50.0,1970,1970,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,,GBR,male,2,0.0,,,0.0,
Matt Lucena,0,1,0.0,1994,1994,1,4.0,2.0,67.0,45.0,33.0,8.0,10.0,2.0,4.0,R,1969-08-04,USA,male,1,8.0,80.0,50.0,4.0,2.985
Stephane Bohli,5,17,22.727,2008,2013,6,53.0,132.0,1520.0,833.0,600.0,344.0,233.0,81.0,136.0,R,1983-07-25,SUI,male,22,178.0,76.395,59.559,6.182,8.684
Jeremy Bates,111,160,40.959,1980,1996,17,396.0,308.0,7867.0,4454.0,3110.0,1564.0,1184.0,424.0,746.0,R,1962-06-19,GBR,male,271,862.0,72.804,56.836,2.753,3.915
Fred Stolle,116,87,57.143,1968,1978,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1938-10-08,AUS,male,203,0.0,,,0.0,
Stephen Botfield,2,6,25.0,1986,1989,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1966-04-10,GBR,male,8,0.0,,,0.0,
Gap Taik Ro,5,4,55.556,1984,1989,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1964-03-05,KOR,male,9,0.0,,,0.0,
John Segal,0,1,0.0,1971,1971,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,,UNK,male,1,0.0,,,0.0,
Miguel Olvera,13,13,50.0,1968,1976,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,,ECU,male,26,0.0,,,0.0,
Norbert Mazany,1,1,50.0,1998,1998,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1978-02-19,HUN,male,2,0.0,,,0.0,
Kasper Rud,0,2,0.0,1976,1976,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,1947-08-07,DEN,male,2,0.0,,,0.0,
Ya Nan Ma,0,1,0.0,2012,2012,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,1990-06-06,CHN,male,1,0.0,,,0.0,
Taso Vasiliadis,2,2,50.0,1997,1999,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1974-02-16,GRE,male,4,0.0,,,0.0,
Arif Kocak,2,2,50.0,1973,1979,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,,TUR,male,4,0.0,,,0.0,
Robert Janecek,0,1,0.0,1989,1989,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1972-06-09,CAN,male,1,0.0,,,0.0,
Carl Uwe Steeb,153,161,48.726,1986,1996,11,283.0,422.0,12576.0,7386.0,4805.0,2604.0,1891.0,706.0,1249.0,L,1967-09-01,GER,male,314,1348.0,71.285,56.525,3.978,3.356
Jimmy Casey,0,2,0.0,1969,1972,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,,IRL,male,2,0.0,,,0.0,
Woong Sun Jun,9,12,42.857,2004,2008,5,19.0,24.0,516.0,296.0,212.0,96.0,80.0,33.0,57.0,R,1986-06-14,KOR,male,21,56.0,70.0,57.895,2.714,4.651
A J Gould,1,1,50.0,1970,1970,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,,GBR,male,2,0.0,,,0.0,
Lorenzo Fargas,1,13,7.143,1976,1986,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1957-10-19,ESP,male,14,0.0,,,0.0,
Gabriel Mattos,1,3,25.0,1982,1983,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,,BRA,male,4,0.0,,,0.0,
Gonzales Austin,1,1,50.0,2011,2011,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,1992-11-05,HAI,male,2,0.0,,,0.0,
Christian Hill,0,1,0.0,1994,1994,1,5.0,0.0,38.0,24.0,9.0,3.0,7.0,1.0,7.0,R,1975-06-01,USA,male,1,1.0,14.286,14.286,7.0,0.0
Ilija Bozoljac,8,17,32.0,2005,2013,9,117.0,311.0,2047.0,1131.0,870.0,442.0,327.0,112.0,175.0,R,1985-08-02,SRB,male,25,264.0,80.734,64.0,7.0,15.193
Richard Coulthard,1,1,50.0,1968,1968,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,,AUS,male,2,0.0,,,0.0,
Joel Ross,0,2,0.0,1972,1976,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,,USA,male,2,0.0,,,0.0,
Sadiq Abdullahi,3,5,37.5,1986,1989,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1960-02-02,NGR,male,8,0.0,,,0.0,
Tzvetan Mihov,0,1,0.0,2010,2010,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1991-02-18,BUL,male,1,0.0,,,0.0,
Grant Golden,0,1,0.0,1978,1978,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1929-08-21,USA,male,1,0.0,,,0.0,
Sherwood Stewart,117,156,42.857,1968,1985,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1946-06-06,USA,male,273,0.0,,,0.0,
E Torriente,0,1,0.0,1971,1971,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,,ESP,male,1,0.0,,,0.0,
Tomm Warneke,5,13,27.778,1980,1987,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1961-10-09,USA,male,18,0.0,,,0.0,
Richard Stott,0,1,0.0,1973,1973,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,,UNK,male,1,0.0,,,0.0,
J Gordon,0,1,0.0,1980,1980,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,,AUS,male,1,0.0,,,0.0,
Vic Rollins,0,1,0.0,1969,1969,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,,CAN,male,1,0.0,,,0.0,
J Hill,0,1,0.0,1973,1973,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,,UNK,male,1,0.0,,,0.0,
Martin Aguirre,0,2,0.0,1983,1985,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,1967-09-07,ECU,male,2,0.0,,,0.0,
Khaled El Salawy,6,4,60.0,1990,1995,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,1970-05-02,EGY,male,10,0.0,,,0.0,
Christian Lindell,5,13,27.778,2010,2017,8,48.0,59.0,992.0,622.0,395.0,151.0,155.0,56.0,115.0,R,1991-11-20,SWE,male,18,96.0,61.935,48.696,6.389,5.948
Darius Florin Bragusi,0,1,0.0,2012,2012,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,1993-06-18,ROU,male,1,0.0,,,0.0,
Alexander Windisch,0,1,0.0,1992,1992,1,0.0,0.0,56.0,30.0,19.0,8.0,9.0,5.0,10.0,R,1968-03-25,GER,male,1,4.0,44.444,50.0,10.0,0.0
Tsuyoshi Fukui,26,20,56.522,1977,1989,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1957-06-22,JPN,male,46,0.0,,,0.0,
Petru Alexandru Luncanu,0,4,0.0,2009,2012,4,8.0,0.0,163.0,98.0,58.0,28.0,21.0,17.0,26.0,L,1989-05-07,ROU,male,4,12.0,57.143,65.385,6.5,0.0
Abdullah Maqdas,9,6,60.0,2004,2015,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,1987-03-31,KUW,male,15,0.0,,,0.0,
Jonathan Igbinovia,0,3,0.0,2007,2007,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1980-12-27,NGR,male,3,0.0,,,0.0,
Lars Jonsson,79,119,39.899,1987,1997,11,226.0,388.0,12612.0,8356.0,5200.0,2098.0,1867.0,782.0,1378.0,R,1970-06-27,SWE,male,198,1271.0,68.077,56.749,6.96,3.076
Greg Failla,1,4,20.0,1987,1990,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1968-03-09,USA,male,5,0.0,,,0.0,
Tau Po,0,1,0.0,1972,1972,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,,HKG,male,1,0.0,,,0.0,
Mark Kratzmann,53,85,38.406,1982,1992,11,48.0,63.0,1459.0,785.0,557.0,355.0,217.0,70.0,119.0,L,1966-05-17,AUS,male,138,168.0,77.419,58.824,0.862,4.318
Cheng Fong Chang,0,1,0.0,1993,1993,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,,CHN,male,1,0.0,,,0.0,
Jim Boyce,0,4,0.0,1971,1976,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,,CAN,male,4,0.0,,,0.0,
Jim Grabb,139,158,46.801,1985,1997,13,561.0,987.0,12495.0,8185.0,5900.0,1979.0,1910.0,627.0,1028.0,R,1964-04-14,USA,male,297,1509.0,79.005,60.992,3.461,7.899
Tallon Griekspoor,3,10,23.077,2017,2021,5,28.0,69.0,1065.0,712.0,500.0,169.0,162.0,59.0,94.0,R,1996-07-02,NED,male,13,127.0,78.395,62.766,7.231,6.479
Robert Eriksson,0,1,0.0,1994,1994,1,5.0,2.0,86.0,45.0,19.0,13.0,12.0,4.0,14.0,R,1971-09-07,SWE,male,1,2.0,16.667,28.571,14.0,2.326
John Chris Lewis,2,8,20.0,1977,1980,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,,USA,male,10,0.0,,,0.0,
Matei Pampoulov,1,0,100.0,1981,1981,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,1949-04-29,BUL,male,1,0.0,,,0.0,
Gene Scott,23,28,45.098,1968,1975,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1937-12-28,USA,male,51,0.0,,,0.0,
Jose Maria Gisbert,1,3,25.0,1969,1974,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,1945-02-07,ESP,male,4,0.0,,,0.0,
Mardy Fish,299,216,58.058,2000,2015,16,1385.0,4736.0,37908.0,20414.0,15711.0,9050.0,6042.0,1760.0,2834.0,R,1981-12-09,USA,male,515,4968.0,82.224,62.103,5.503,12.493
Lleyton Hewitt,600,256,70.093,1997,2016,20,2880.0,4986.0,64462.0,34771.0,25631.0,15641.0,10160.0,3240.0,5247.0,R,1981-02-24,AUS,male,856,8153.0,80.246,61.75,6.13,7.735
R Hayes,0,1,0.0,1970,1970,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,,GBR,male,1,0.0,,,0.0,
Micke Kontinen,2,6,25.0,2011,2015,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1992-12-18,FIN,male,8,0.0,,,0.0,
Alexander Ofori,0,1,0.0,1997,1997,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,1976-11-30,GHA,male,1,0.0,,,0.0,
Richard Russell,17,30,36.17,1968,1975,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,1945-09-08,JAM,male,47,0.0,,,0.0,
Dennis Davis,0,1,0.0,1972,1972,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,,JAM,male,1,0.0,,,0.0,
Michael Fancutt,0,4,0.0,1981,1985,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1961-02-20,AUS,male,4,0.0,,,0.0,
Juan Carlos Rodriguez,0,1,0.0,1969,1969,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,,ARG,male,1,0.0,,,0.0,
Clive Brebnor,3,6,33.333,1969,1974,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,,RSA,male,9,0.0,,,0.0,
Juan Rivera,0,1,0.0,1973,1973,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,,ARG,male,1,0.0,,,0.0,
S Fine,1,1,50.0,1980,1980,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,,UNK,male,2,0.0,,,0.0,
Nemanja Kontic,0,1,0.0,2009,2009,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,1981-03-21,MNE,male,1,0.0,,,0.0,
Mikael Torpegaard,3,5,37.5,2014,2021,8,13.0,12.0,319.0,183.0,125.0,73.0,51.0,17.0,30.0,R,1994-05-08,DEN,male,8,38.0,74.51,56.667,3.75,3.762
Kelly Jones,44,67,39.64,1984,1994,11,62.0,50.0,1520.0,995.0,645.0,231.0,222.0,107.0,174.0,R,1964-03-31,USA,male,111,155.0,69.82,61.494,1.568,3.289
Kelly Jones,44,67,39.64,1984,1994,11,62.0,50.0,1520.0,995.0,645.0,231.0,222.0,107.0,174.0,R,1964-05-31,USA,male,111,155.0,69.82,61.494,1.568,3.289
Abdulhameed Alshatti,0,1,0.0,2014,2014,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1995-07-29,KUW,male,1,0.0,,,0.0,
Marc Bolle,0,1,0.0,1969,1969,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1949-06-24,BEL,male,1,0.0,,,0.0,
David Caldwell,2,9,18.182,1996,2000,5,47.0,9.0,872.0,605.0,343.0,114.0,133.0,57.0,113.0,R,1974-06-13,USA,male,11,77.0,57.895,50.442,10.273,1.032
Takayoshi Shibuya,0,1,0.0,1984,1984,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,,JPN,male,1,0.0,,,0.0,
Nick Badenhorst,0,1,0.0,1979,1979,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,,RSA,male,1,0.0,,,0.0,
Pavel Baranov,1,5,16.667,1999,2000,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1980-11-07,KAZ,male,6,0.0,,,0.0,
Kiyoshi Tanabe,4,11,26.667,1971,1982,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,1948-04-22,JPN,male,15,0.0,,,0.0,
Pavel Katliarov,0,1,0.0,2008,2008,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1988-02-22,BLR,male,1,0.0,,,0.0,
R Kiesling,0,1,0.0,1976,1976,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,,USA,male,1,0.0,,,0.0,
Unknown Alvarez,0,1,0.0,1970,1970,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,,,male,1,0.0,,,0.0,
Edson Krause,1,1,50.0,1983,1983,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,,BRA,male,2,0.0,,,0.0,
Unknown Seymour,0,1,0.0,1970,1970,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,,,male,1,0.0,,,0.0,
Quinton Vega,0,2,0.0,2020,2020,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1992-11-22,USA,male,2,0.0,,,0.0,
Josselin Ouanna,7,16,30.435,2008,2013,6,88.0,147.0,1941.0,1107.0,813.0,405.0,303.0,95.0,168.0,R,1986-04-14,FRA,male,23,230.0,75.908,56.548,7.304,7.573
Geoffrey Blancaneaux,0,1,0.0,2017,2017,1,9.0,3.0,72.0,39.0,21.0,12.0,11.0,5.0,12.0,R,1998-08-08,FRA,male,1,4.0,36.364,41.667,12.0,4.167
Youssef Hassan,0,2,0.0,1988,1988,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,,IRQ,male,2,0.0,,,0.0,
Dario Acosta,0,1,0.0,2009,2009,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1987-09-09,URU,male,1,0.0,,,0.0,
Bjorn Phau,79,134,37.089,1998,2014,17,756.0,789.0,15801.0,8334.0,5669.0,3679.0,2425.0,910.0,1627.0,R,1979-10-04,GER,male,213,1708.0,70.433,55.931,7.638,4.993
Tasos Bavelas,16,19,45.714,1984,1994,11,7.0,6.0,180.0,99.0,54.0,31.0,29.0,12.0,29.0,L,1968-02-27,GRE,male,35,12.0,41.379,41.379,0.829,3.333
Lionel Eli,0,6,0.0,1991,1992,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,1960-08-10,BAR,male,6,0.0,,,0.0,
Ronaldo Carvalho,0,1,0.0,2004,2004,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1979-02-28,BRA,male,1,0.0,,,0.0,
Lucas Gomez,3,13,18.75,2013,2019,7,33.0,15.0,653.0,398.0,235.0,103.0,107.0,37.0,88.0,U,1995-08-11,MEX,male,16,56.0,52.336,42.045,5.5,2.297
Tico Carrero,3,6,33.333,1968,1973,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1948-09-04,PUR,male,9,0.0,,,0.0,
Daniel Koellerer,19,36,34.545,2003,2010,8,99.0,86.0,4003.0,2771.0,1757.0,606.0,621.0,229.0,420.0,R,1983-08-17,AUT,male,55,430.0,69.243,54.524,7.636,2.148
Grega Zemlja,42,50,45.652,2005,2017,13,211.0,517.0,5811.0,3415.0,2452.0,1164.0,887.0,336.0,542.0,R,1986-09-29,SLO,male,92,681.0,76.776,61.993,5.891,8.897
Noujeim Hakimi,0,2,0.0,1993,1993,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,1973-05-12,ALG,male,2,0.0,,,0.0,
Peter Lamb,1,3,25.0,1980,1981,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1959-03-12,RSA,male,4,0.0,,,0.0,
Brian Teacher,252,173,59.294,1971,1986,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1954-12-23,USA,male,425,0.0,,,0.0,
Kent Carlsson,160,58,73.394,1983,1989,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1968-01-03,SWE,male,218,0.0,,,0.0,
